area_type,location,society,size,total_sqft,sqft,bath,balcony,possession date,price
Super built-up  Area,Electronic City Phase II,Coomee ,2 BHK,1056,1056,2,1,44192,39.07
Plot  Area,Chikka Tirupathi,Theanmp,4 Bedroom,2600,2600,5,3,Ready to move,120
Built-up  Area,Uttarahalli,,3 BHK,1440,1440,2,3,Ready to move,62
Super built-up  Area,Lingadheeranahalli,Soiewre,3 BHK,1521,1521,3,1,Ready to move,95
Super built-up  Area,Kothanur,,2 BHK,1200,1200,2,1,Ready to move,51
Super built-up  Area,Whitefield,DuenaTa,2 BHK,1170,1170,2,1,Ready to move,38
Super built-up  Area,Old Airport Road,Jaades ,4 BHK,2732,2732,4,,44664,204
Super built-up  Area,Rajaji Nagar,Brway G,4 BHK,3300,3300,4,,Ready to move,600
Super built-up  Area,Marathahalli,,3 BHK,1310,1310,3,1,Ready to move,63.25
Plot  Area,Gandhi Bazar,,6 Bedroom,1020,1020,6,,Ready to move,370
Super built-up  Area,Whitefield,,3 BHK,1800,1800,2,2,44692,70
Plot  Area,Whitefield,Prrry M,4 Bedroom,2785,2785,5,3,Ready to move,295
Super built-up  Area,7th Phase JP Nagar,Shncyes,2 BHK,1000,1000,2,1,Ready to move,38
Built-up  Area,Gottigere,,2 BHK,1100,1100,2,2,Ready to move,40
Plot  Area,Sarjapur,Skityer,3 Bedroom,2250,2250,3,2,Ready to move,148
Super built-up  Area,Mysore Road,PrntaEn,2 BHK,1175,1175,2,2,Ready to move,73.5
Super built-up  Area,Bisuvanahalli,Prityel,3 BHK,1180,1180,3,2,Ready to move,48
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,3 BHK,1540,1540,3,3,Ready to move,60
Super built-up  Area,Ramakrishnappa Layout,PeBayle,3 BHK,2770,2770,4,2,Ready to move,290
Super built-up  Area,Manayata Tech Park,,2 BHK,1100,1100,2,2,Ready to move,48
Built-up  Area,Kengeri,,1 BHK,600,600,1,1,Ready to move,15
Super built-up  Area,Binny Pete,She 2rk,3 BHK,1755,1755,3,1,44328,122
Plot  Area,Thanisandra,Soitya ,4 Bedroom,2800,2800,5,2,Ready to move,380
Super built-up  Area,Bellandur,,3 BHK,1767,1767,3,1,Ready to move,103
Super built-up  Area, Thanisandra,Bhe 2ko,1 RK,510,510,1,0,43562,25.25
Super built-up  Area,Mangammanapalya,,3 BHK,1250,1250,3,2,44696,56
Super built-up  Area,Electronic City,Itelaa ,2 BHK,660,660,1,1,Ready to move,23.1
Built-up  Area,Whitefield,,3 BHK,1610,1610,3,2,45238,81
