total_sqft,bath,balcony,size,location,price,Actual Price,Predicted Price,Error,Squared Error
1056.0,2.0,1.0,2,Electronic City Phase II,39.07,39.07,36.41043124278894,2.659568757211062,7.073305974333193
1200.0,2.0,1.0,2,Kothanur,51.0,51.0,57.97024435809017,-6.97024435809017,48.584306411487844
1100.0,2.0,2.0,2,Gottigere,40.0,40.0,50.60628212216436,-10.606282122164359,112.4932204549433
1175.0,2.0,2.0,2,Mysore Road,73.5,73.5,55.8263830445522,17.673616955447798,312.3567362878919
600.0,1.0,1.0,1,Kengeri,15.0,15.0,11.111306230202494,3.8886937697975057,15.121939235261936
660.0,1.0,1.0,2,Electronic City,23.1,23.1,22.623919598138343,0.47608040186165823,0.226652549036758
1075.0,2.0,1.0,3,Bisuvanahalli,35.0,35.0,44.32018909061125,-9.320189090611251,86.86592468474898
1290.0,2.0,2.0,3,Chikkalasandra,56.12,56.12,61.99006079558839,-5.870060795588394,34.45761374390385
1254.0,3.0,2.0,3,Sarjapur  Road,38.0,38.0,96.74672766982613,-58.74672766982613,3451.1780119127147
660.0,1.0,0.0,1,Yelahanka,48.0,48.0,26.01301112846754,21.98698887153246,483.42767963689226
970.0,2.0,0.0,2,Doddathoguru,33.0,33.0,37.857552203606616,-4.857552203606616,23.59581341076349
1459.0,2.0,1.0,2,Whitefield,94.82,94.82,66.17658257875513,28.643417421244862,820.4453615676737
1270.0,2.0,1.0,2,Adarsh Nagar,50.0,50.0,-2963829986.5401015,2963830036.5401015,8.7842884854973e+18
840.0,2.0,2.0,2,Govindaraja Nagar Ward,45.0,45.0,50.29853973330157,-5.298539733301567,28.07452330537544
1100.0,2.0,1.0,2,Doddathoguru,62.0,62.0,38.26224195328396,23.73775804671604,563.4811570844321
1569.0,3.0,1.0,3,Hegde Nagar,101.0,101.0,118.64221565777146,-17.64221565777146,311.2477733153164
1660.0,2.0,2.0,3,Kodanda Reddy Layout,105.0,105.0,68.2160957147745,36.7839042852255,1353.0556144646312
1000.0,2.0,1.0,2,Electronic City,28.88,28.88,47.58488010968384,-18.704880109683838,349.87253991764607
1200.0,2.0,1.0,2,Devasthanagalu,65.0,65.0,45.680423487300956,19.319576512699044,373.24603663003256
